ID_Pedido,Data_Pedido,Data_Entrega_Prevista,Data_Entrega_Real,ID_Fornecedor,Nome_Fornecedor,Categoria_Produto,Produto,Qtd,Preco_Unitario_Negociado,Preco_Tabela,Status_Entrega
PO-10020,2023-03-08,2023-03-15,2023-03-18,108,Importadora Oriente,MRO,Ferramentas de Corte,41,89.34,101.01,Entregue
PO-10021,2023-04-05,2023-04-12,2023-04-11,108,Importadora Oriente,Embalagem,Filme Stretch,195,412.4,421.21,Entregue
PO-10022,2023-03-01,2023-03-20,2023-03-20,103,Eletrônicos Tech,Componentes,Microchip X1,332,34.42,38.05,Entregue
PO-10023,2023-09-28,2023-10-10,2023-10-09,103,Eletrônicos Tech,Matéria-Prima,Polímero Granulado,460,356.67,409.21,Entregue
PO-10024,2023-12-10,2023-12-28,2023-12-25,104,Global Embalagens,Embalagem,Filme Stretch,475,450.01,465.58,Entregue
PO-10025,2023-08-24,2023-09-07,2023-09-06,102,Plásticos do Sul,Matéria-Prima,Resina Epóxi,326,205.54,211.14,Entregue
PO-10026,2023-05-27,2023-06-07,2023-06-05,107,Componentes BR,Embalagem,Filme Stretch,148,229.76,262.46,Entregue
PO-10027,2023-09-22,2023-09-30,2023-09-28,101,Metalúrgica AçoForte,Componentes,Microchip X1,431,227.28,246.97,Entregue
PO-10028,2023-03-16,2023-03-28,2023-03-26,108,Importadora Oriente,Componentes,Placa de Circuito,47,323.89,359.28,Entregue
PO-10029,2023-10-13,2023-10-23,2023-10-24,101,Metalúrgica AçoForte,Embalagem,Caixa Papelão G,191,439.08,493.78,Devolvido
PO-10030,2023-11-20,2023-12-04,2023-12-02,103,Eletrônicos Tech,Componentes,Microchip X1,348,482.5,466.97,Entregue
PO-10031,2023-08-06,2023-08-26,2023-08-26,106,Transportes & Log,Matéria-Prima,Bobina de Aço,166,361.04,367.13,Entregue
PO-10032,2023-07-09,2023-07-15,2023-07-16,102,Plásticos do Sul,Matéria-Prima,Bobina de Aço,46,466.67,460.21,Devolvido
PO-10033,2023-12-18,2023-12-23,2023-12-23,108,Importadora Oriente,Componentes,Placa de Circuito,425,363.25,386.89,Entregue
PO-10034,2023-03-14,2023-03-29,2023-03-28,102,Plásticos do Sul,Componentes,Parafuso Inox,79,291.67,325.34,Entregue
PO-10035,2023-03-23,2023-04-08,2023-04-06,101,Metalúrgica AçoForte,MRO,Ferramentas de Corte,149,225.52,215.91,Entregue
PO-10036,2023-10-17,2023-10-23,2023-10-28,108,Importadora Oriente,MRO,Luvas de Proteção,444,350.24,367.87,Entregue
PO-10037,2023-09-08,2023-09-13,2023-09-15,104,Global Embalagens,MRO,Ferramentas de Corte,47,321.84,334.61,Devolvido
PO-10038,2023-09-07,2023-09-16,2023-09-18,101,Metalúrgica AçoForte,Componentes,Parafuso Inox,231,319.76,361.15,Entregue
PO-10039,2023-09-03,2023-09-12,2023-09-12,105,Química Inovadora,Embalagem,Filme Stretch,256,381.81,430.41,Entregue
PO-10040,2023-05-11,2023-05-22,2023-05-20,102,Plásticos do Sul,Matéria-Prima,Bobina de Aço,21,103.45,102.41,Entregue
PO-10041,2023-02-18,2023-03-03,2023-03-11,104,Global Embalagens,Componentes,Sensor Óptico,214,371.16,423.04,Entregue
PO-10042,2023-06-17,2023-06-27,2023-06-26,103,Eletrônicos Tech,MRO,Ferramentas de Corte,338,248.42,276.89,Entregue
PO-10043,2023-11-29,2023-12-17,2023-12-15,102,Plásticos do Sul,Matéria-Prima,Resina Epóxi,355,88.06,84.87,Entregue
PO-10044,2023-12-21,2024-01-05,2024-01-02,101,Metalúrgica AçoForte,Componentes,Placa de Circuito,384,426.97,453.56,Entregue
PO-10045,2023-02-26,2023-03-13,2023-03-12,105,Química Inovadora,MRO,Ferramentas de Corte,111,345.57,339.06,Entregue
PO-10046,2023-04-02,2023-04-09,2023-04-17,107,Componentes BR,Componentes,Parafuso Inox,431,50.25,49.03,Entregue
PO-10047,2023-05-27,2023-06-09,2023-06-06,108,Importadora Oriente,Embalagem,Filme Stretch,13,408.52,469.63,Entregue
PO-10048,2023-01-17,2023-01-23,2023-01-22,108,Importadora Oriente,Componentes,Sensor Óptico,367,445.22,432.99,Entregue
PO-10049,2023-09-03,2023-09-16,2023-09-16,102,Plásticos do Sul,MRO,Óleo Lubrificante,166,228.22,255.78,Entregue
PO-10050,2023-08-29,2023-09-17,2023-09-28,102,Plásticos do Sul,Embalagem,Pallet Padrão,93,431.83,460.69,Entregue
PO-10051,2023-09-28,2023-10-13,2023-10-12,105,Química Inovadora,Componentes,Microchip X1,167,336.95,361.38,Entregue
PO-10052,2023-02-20,2023-03-04,,104,Global Embalagens,Embalagem,Pallet Padrão,299,50.7,52.56,Pendente
PO-10053,2023-10-03,2023-10-11,2023-10-11,106,Transportes & Log,Componentes,Parafuso Inox,222,458.13,457.71,Entregue
PO-10054,2023-05-08,2023-05-13,2023-05-12,107,Componentes BR,Matéria-Prima,Polímero Granulado,330,393.7,450.39,Entregue
PO-10055,2023-10-27,2023-11-08,2023-11-07,102,Plásticos do Sul,MRO,Ferramentas de Corte,226,52.53,59.58,Entregue
PO-10056,2023-03-05,2023-03-24,2023-03-24,105,Química Inovadora,Matéria-Prima,Chapa de Alumínio,129,454.68,454.21,Entregue
PO-10057,2023-12-18,2023-12-25,2023-12-23,108,Importadora Oriente,Componentes,Microchip X1,312,404.16,464.6,Entregue
PO-10058,2023-03-11,2023-03-24,2023-03-21,108,Importadora Oriente,Embalagem,Pallet Padrão,99,328.33,334.2,Entregue
PO-10059,2023-06-29,2023-07-08,2023-07-08,107,Componentes BR,Matéria-Prima,Bobina de Aço,195,172.61,174.3,Entregue
PO-10060,2023-10-22,2023-11-05,2023-11-05,105,Química Inovadora,Componentes,Sensor Óptico,361,438.12,460.74,Entregue
PO-10061,2023-02-24,2023-03-13,2023-03-14,108,Importadora Oriente,Matéria-Prima,Polímero Granulado,28,219.66,212.31,Devolvido
PO-10062,2023-01-27,2023-02-14,2023-02-13,104,Global Embalagens,Embalagem,Pallet Padrão,457,23.49,24.58,Entregue
PO-10063,2023-06-14,2023-06-23,2023-06-21,106,Transportes & Log,Embalagem,Caixa Papelão G,487,96.19,94.69,Entregue
PO-10064,2023-05-29,2023-06-12,2023-06-25,104,Global Embalagens,Componentes,Placa de Circuito,43,174.37,199.83,Entregue
PO-10065,2023-09-01,2023-09-06,2023-09-05,101,Metalúrgica AçoForte,MRO,Óleo Lubrificante,322,343.76,362.9,Entregue
PO-10066,2023-05-07,2023-05-22,,101,Metalúrgica AçoForte,Embalagem,Filme Stretch,486,232.82,224.62,Pendente
PO-10067,2023-09-04,2023-09-20,2023-09-22,107,Componentes BR,Embalagem,Filme Stretch,475,63.17,66.11,Devolvido
PO-10068,2023-01-07,2023-01-24,2023-01-24,101,Metalúrgica AçoForte,Componentes,Microchip X1,177,319.33,340.16,Entregue
PO-10069,2023-08-02,2023-08-16,2023-08-13,101,Metalúrgica AçoForte,Embalagem,Caixa Papelão G,332,179.63,185.62,Entregue
PO-10070,2023-05-25,2023-06-08,2023-06-07,105,Química Inovadora,Embalagem,Filme Stretch,127,338.21,388.41,Entregue
PO-10071,2023-05-14,2023-05-28,,105,Química Inovadora,Componentes,Sensor Óptico,219,472.65,457.79,Pendente
PO-10072,2023-05-04,2023-05-20,2023-05-19,106,Transportes & Log,MRO,Ferramentas de Corte,373,323.45,328.77,Entregue
PO-10073,2023-03-11,2023-03-16,2023-03-29,101,Metalúrgica AçoForte,MRO,Ferramentas de Corte,48,144.17,165.89,Entregue
PO-10074,2023-01-28,2023-02-16,2023-02-17,107,Componentes BR,Componentes,Sensor Óptico,211,333.42,376.0,Entregue
PO-10075,2023-06-20,2023-07-06,2023-07-04,101,Metalúrgica AçoForte,Matéria-Prima,Chapa de Alumínio,135,330.22,367.67,Entregue
PO-10076,2023-03-12,2023-03-30,2023-03-30,106,Transportes & Log,Embalagem,Filme Stretch,166,305.96,306.0,Entregue
PO-10077,2023-12-04,2023-12-17,2023-12-29,108,Importadora Oriente,Embalagem,Filme Stretch,262,340.92,355.68,Entregue
PO-10078,2023-07-04,2023-07-22,2023-07-19,103,Eletrônicos Tech,Matéria-Prima,Bobina de Aço,310,508.85,497.93,Entregue
PO-10079,2023-12-12,2023-12-29,2023-12-26,104,Global Embalagens,Componentes,Placa de Circuito,213,206.1,204.9,Entregue
PO-10080,2023-11-15,2023-11-29,2023-12-03,102,Plásticos do Sul,Componentes,Sensor Óptico,450,117.34,120.31,Entregue
PO-10081,2023-06-23,2023-07-11,2023-07-09,103,Eletrônicos Tech,Componentes,Parafuso Inox,397,393.11,411.93,Entregue
PO-10082,2023-06-26,2023-07-16,2023-07-14,106,Transportes & Log,Matéria-Prima,Polímero Granulado,309,210.67,246.94,Entregue
PO-10083,2023-11-30,2023-12-11,2023-12-10,102,Plásticos do Sul,Componentes,Microchip X1,145,103.43,108.97,Entregue
PO-10084,2023-09-15,2023-09-25,2023-09-23,101,Metalúrgica AçoForte,Embalagem,Filme Stretch,221,237.34,233.31,Entregue
PO-10085,2023-07-18,2023-08-06,2023-08-04,108,Importadora Oriente,Matéria-Prima,Polímero Granulado,220,423.01,489.56,Entregue
PO-10086,2023-08-31,2023-09-20,2023-09-20,107,Componentes BR,Embalagem,Caixa Papelão G,249,256.06,276.91,Entregue
PO-10087,2023-01-13,2023-01-30,2023-02-02,104,Global Embalagens,Componentes,Placa de Circuito,415,219.39,254.03,Entregue
PO-10088,2023-06-15,2023-06-25,2023-06-24,104,Global Embalagens,MRO,Óleo Lubrificante,25,33.1,32.66,Entregue
PO-10089,2023-07-18,2023-07-31,2023-07-28,101,Metalúrgica AçoForte,Matéria-Prima,Bobina de Aço,459,133.02,147.41,Entregue
PO-10090,2023-01-14,2023-01-22,2023-01-19,108,Importadora Oriente,MRO,Óleo Lubrificante,450,272.67,267.77,Entregue
PO-10091,2023-03-13,2023-03-31,2023-03-28,106,Transportes & Log,Componentes,Parafuso Inox,237,313.08,358.62,Entregue
PO-10092,2023-09-10,2023-09-26,2023-09-26,103,Eletrônicos Tech,Matéria-Prima,Polímero Granulado,103,366.99,374.33,Entregue
PO-10093,2023-12-06,2023-12-18,2023-12-22,107,Componentes BR,Embalagem,Caixa Papelão G,323,135.55,140.93,Devolvido
PO-10094,2023-11-30,2023-12-14,2023-12-14,105,Química Inovadora,Componentes,Microchip X1,262,146.71,141.21,Entregue
PO-10095,2023-09-19,2023-09-29,2023-09-27,107,Componentes BR,Componentes,Microchip X1,480,189.4,186.57,Entregue
PO-10096,2023-02-20,2023-03-09,2023-03-09,105,Química Inovadora,Embalagem,Pallet Padrão,367,109.86,124.62,Entregue
PO-10097,2023-09-11,2023-09-17,2023-09-19,105,Química Inovadora,Componentes,Placa de Circuito,163,241.32,245.35,Entregue
PO-10098,2023-05-31,2023-06-14,2023-06-13,104,Global Embalagens,MRO,Ferramentas de Corte,158,86.92,101.95,Entregue
PO-10099,2023-06-16,2023-07-02,2023-07-05,102,Plásticos do Sul,Componentes,Placa de Circuito,85,373.5,376.05,Devolvido
PO-10100,2023-12-11,2023-12-29,2023-12-28,104,Global Embalagens,Componentes,Placa de Circuito,44,271.69,284.16,Entregue
PO-10101,2023-12-01,2023-12-06,2023-12-06,108,Importadora Oriente,Embalagem,Filme Stretch,494,76.98,83.31,Entregue
PO-10102,2023-07-14,2023-07-31,2023-07-31,107,Componentes BR,Matéria-Prima,Chapa de Alumínio,421,183.36,189.97,Entregue
PO-10103,2023-12-06,2023-12-24,2023-12-22,101,Metalúrgica AçoForte,MRO,Óleo Lubrificante,368,250.91,254.93,Entregue
PO-10104,2023-08-09,2023-08-16,2023-08-16,108,Importadora Oriente,Matéria-Prima,Polímero Granulado,70,97.48,109.85,Entregue
PO-10105,2023-12-03,2023-12-22,2023-12-31,105,Química Inovadora,Componentes,Placa de Circuito,326,471.55,480.49,Entregue
PO-10106,2023-09-15,2023-10-04,2023-10-02,103,Eletrônicos Tech,Matéria-Prima,Chapa de Alumínio,87,220.04,236.8,Entregue
PO-10107,2023-06-03,2023-06-18,2023-06-15,108,Importadora Oriente,MRO,Ferramentas de Corte,485,353.27,401.96,Entregue
PO-10108,2023-04-16,2023-05-06,2023-05-05,105,Química Inovadora,Componentes,Parafuso Inox,199,255.32,286.67,Entregue
PO-10109,2023-09-11,2023-09-19,2023-09-19,107,Componentes BR,Matéria-Prima,Resina Epóxi,276,262.47,295.17,Entregue
PO-10110,2023-10-18,2023-10-26,2023-10-26,103,Eletrônicos Tech,MRO,Ferramentas de Corte,226,45.22,44.5,Entregue
PO-10111,2023-06-24,2023-07-07,,105,Química Inovadora,MRO,Óleo Lubrificante,86,203.78,239.49,Pendente
PO-10112,2023-10-20,2023-11-06,2023-11-03,104,Global Embalagens,Matéria-Prima,Chapa de Alumínio,221,484.96,480.98,Entregue
PO-10113,2023-01-30,2023-02-14,2023-02-19,107,Componentes BR,MRO,Óleo Lubrificante,419,383.54,377.23,Devolvido
PO-10114,2023-09-01,2023-09-19,2023-09-19,103,Eletrônicos Tech,Componentes,Parafuso Inox,77,120.68,117.88,Entregue
PO-10115,2023-12-03,2023-12-13,2023-12-11,103,Eletrônicos Tech,MRO,Óleo Lubrificante,211,295.66,321.11,Entregue
PO-10116,2023-06-04,2023-06-23,2023-06-28,101,Metalúrgica AçoForte,Matéria-Prima,Bobina de Aço,275,171.96,169.1,Entregue
PO-10117,2023-02-23,2023-03-02,2023-03-01,108,Importadora Oriente,MRO,Óleo Lubrificante,192,247.66,243.23,Entregue
PO-10118,2023-08-05,2023-08-13,2023-08-12,101,Metalúrgica AçoForte,Componentes,Sensor Óptico,169,72.02,72.95,Entregue
PO-10119,2023-03-12,2023-03-23,2023-03-22,101,Metalúrgica AçoForte,Embalagem,Caixa Papelão G,414,348.83,366.41,Entregue
PO-10120,2023-09-11,2023-09-16,2023-09-17,102,Plásticos do Sul,Matéria-Prima,Bobina de Aço,498,93.24,109.33,Devolvido
PO-10121,2023-02-27,2023-03-17,2023-03-21,102,Plásticos do Sul,MRO,Luvas de Proteção,445,203.89,218.88,Devolvido
PO-10122,2023-12-31,2024-01-11,2024-01-09,106,Transportes & Log,Embalagem,Caixa Papelão G,457,130.16,136.03,Entregue
PO-10123,2023-05-15,2023-05-27,2023-06-03,108,Importadora Oriente,MRO,Óleo Lubrificante,36,30.12,30.12,Entregue
PO-10124,2023-01-22,2023-02-06,,107,Componentes BR,Matéria-Prima,Chapa de Alumínio,277,99.11,115.79,Pendente
PO-10125,2023-06-22,2023-07-10,2023-07-07,102,Plásticos do Sul,Embalagem,Pallet Padrão,111,130.03,152.18,Entregue
PO-10126,2023-09-16,2023-09-29,2023-09-29,106,Transportes & Log,Embalagem,Filme Stretch,400,260.16,268.58,Entregue
PO-10127,2023-10-21,2023-11-08,2023-11-16,103,Eletrônicos Tech,Componentes,Sensor Óptico,129,384.86,431.68,Entregue
PO-10128,2023-11-23,2023-12-06,,101,Metalúrgica AçoForte,Componentes,Parafuso Inox,104,119.81,117.45,Pendente
PO-10129,2023-11-03,2023-11-14,2023-11-13,107,Componentes BR,Matéria-Prima,Chapa de Alumínio,384,12.5,13.42,Entregue
PO-10130,2023-06-08,2023-06-25,2023-06-23,102,Plásticos do Sul,Componentes,Parafuso Inox,117,158.74,173.49,Entregue
PO-10131,2023-05-02,2023-05-12,2023-05-11,101,Metalúrgica AçoForte,MRO,Luvas de Proteção,122,354.35,373.33,Entregue
PO-10132,2023-11-20,2023-12-07,2023-12-17,108,Importadora Oriente,Componentes,Placa de Circuito,312,391.66,458.14,Entregue
PO-10133,2023-11-07,2023-11-13,2023-11-11,101,Metalúrgica AçoForte,MRO,Óleo Lubrificante,481,281.25,283.69,Entregue
PO-10134,2023-02-17,2023-03-02,2023-02-28,105,Química Inovadora,Matéria-Prima,Resina Epóxi,19,472.85,459.14,Entregue
PO-10135,2023-12-15,2023-12-26,2023-12-25,103,Eletrônicos Tech,MRO,Óleo Lubrificante,195,153.16,159.59,Entregue
PO-10136,2023-06-13,2023-06-22,,107,Componentes BR,Componentes,Parafuso Inox,107,168.55,181.62,Pendente
PO-10137,2023-07-15,2023-08-02,2023-08-01,107,Componentes BR,Embalagem,Filme Stretch,30,78.39,82.0,Entregue
PO-10138,2023-09-24,2023-10-08,2023-10-06,105,Química Inovadora,Embalagem,Pallet Padrão,476,87.12,92.44,Entregue
PO-10139,2023-10-31,2023-11-10,2023-11-08,101,Metalúrgica AçoForte,Embalagem,Caixa Papelão G,153,88.51,84.42,Entregue
PO-10140,2023-03-20,2023-04-02,2023-03-31,102,Plásticos do Sul,Componentes,Parafuso Inox,57,416.21,469.83,Entregue
PO-10141,2023-06-16,2023-06-29,2023-06-27,106,Transportes & Log,Componentes,Sensor Óptico,96,325.49,373.16,Entregue
PO-10142,2023-06-19,2023-06-24,2023-06-24,101,Metalúrgica AçoForte,Componentes,Parafuso Inox,351,311.54,344.09,Entregue
PO-10143,2023-10-13,2023-10-30,2023-11-12,106,Transportes & Log,MRO,Ferramentas de Corte,286,44.42,47.76,Entregue
PO-10144,2023-09-24,2023-10-08,2023-10-10,106,Transportes & Log,Componentes,Sensor Óptico,405,294.21,297.21,Entregue
PO-10145,2023-07-21,2023-08-09,2023-08-07,106,Transportes & Log,Embalagem,Pallet Padrão,421,236.86,229.96,Entregue
PO-10146,2023-09-05,2023-09-15,2023-09-13,108,Importadora Oriente,MRO,Ferramentas de Corte,405,119.76,118.51,Entregue
PO-10147,2023-09-02,2023-09-13,2023-09-10,101,Metalúrgica AçoForte,Componentes,Parafuso Inox,393,190.24,194.32,Entregue
PO-10148,2023-08-02,2023-08-08,2023-08-06,101,Metalúrgica AçoForte,Matéria-Prima,Resina Epóxi,34,201.42,227.07,Entregue
PO-10149,2023-03-04,2023-03-11,,108,Importadora Oriente,MRO,Ferramentas de Corte,388,423.41,453.14,Pendente
PO-10150,2023-06-08,2023-06-24,2023-07-03,104,Global Embalagens,MRO,Ferramentas de Corte,11,433.33,420.74,Entregue
PO-10151,2023-06-17,2023-06-23,2023-06-23,102,Plásticos do Sul,Matéria-Prima,Bobina de Aço,316,200.01,201.49,Entregue
PO-10152,2023-08-03,2023-08-21,2023-08-18,107,Componentes BR,Embalagem,Pallet Padrão,322,357.7,415.53,Entregue
PO-10153,2023-11-02,2023-11-22,2023-11-20,106,Transportes & Log,Matéria-Prima,Resina Epóxi,226,454.54,481.81,Entregue
PO-10154,2023-04-13,2023-04-19,2023-04-16,107,Componentes BR,Componentes,Placa de Circuito,410,193.04,189.52,Entregue
PO-10155,2023-09-24,2023-10-04,2023-10-04,104,Global Embalagens,Embalagem,Caixa Papelão G,206,431.09,476.35,Entregue
PO-10156,2023-10-25,2023-11-10,2023-11-08,103,Eletrônicos Tech,MRO,Luvas de Proteção,343,267.58,254.95,Entregue
PO-10157,2023-07-24,2023-08-03,2023-08-01,103,Eletrônicos Tech,MRO,Luvas de Proteção,36,366.56,374.37,Entregue
PO-10158,2023-05-30,2023-06-15,2023-06-14,102,Plásticos do Sul,Componentes,Microchip X1,242,165.8,176.83,Entregue
PO-10159,2023-01-11,2023-01-26,2023-01-31,104,Global Embalagens,MRO,Luvas de Proteção,377,302.33,289.53,Entregue
PO-10160,2023-08-26,2023-09-07,2023-09-07,102,Plásticos do Sul,Componentes,Parafuso Inox,137,221.35,217.29,Entregue
PO-10161,2023-12-15,2023-12-25,2023-12-23,105,Química Inovadora,Componentes,Parafuso Inox,253,396.5,385.24,Entregue
PO-10162,2023-04-29,2023-05-07,2023-05-16,105,Química Inovadora,Componentes,Microchip X1,191,330.28,381.94,Entregue
PO-10163,2023-09-07,2023-09-18,2023-09-16,106,Transportes & Log,Matéria-Prima,Polímero Granulado,323,95.15,95.3,Entregue
PO-10164,2023-06-15,2023-06-29,2023-06-28,103,Eletrônicos Tech,Matéria-Prima,Polímero Granulado,334,92.22,95.44,Entregue
PO-10165,2023-07-18,2023-07-23,2023-07-22,105,Química Inovadora,MRO,Ferramentas de Corte,118,202.83,206.5,Entregue
PO-10166,2023-12-03,2023-12-09,2023-12-06,106,Transportes & Log,Embalagem,Caixa Papelão G,83,316.19,317.2,Entregue
PO-10167,2023-09-03,2023-09-20,2023-09-29,101,Metalúrgica AçoForte,Embalagem,Caixa Papelão G,419,476.93,481.85,Entregue
PO-10168,2023-12-21,2024-01-09,2024-01-07,105,Química Inovadora,MRO,Óleo Lubrificante,473,436.24,490.57,Entregue
PO-10169,2023-01-17,2023-02-06,2023-02-17,101,Metalúrgica AçoForte,Embalagem,Pallet Padrão,150,273.44,319.09,Entregue
PO-10170,2023-12-26,2024-01-09,2024-01-15,108,Importadora Oriente,Componentes,Placa de Circuito,405,410.36,460.57,Entregue
PO-10171,2023-11-06,2023-11-16,2023-11-15,108,Importadora Oriente,Componentes,Placa de Circuito,232,152.74,146.68,Entregue
PO-10172,2023-09-02,2023-09-16,2023-09-14,105,Química Inovadora,Componentes,Sensor Óptico,388,20.1,19.76,Entregue
PO-10173,2023-08-21,2023-08-28,2023-08-28,108,Importadora Oriente,Matéria-Prima,Resina Epóxi,466,131.59,146.44,Entregue
PO-10174,2023-01-23,2023-02-01,2023-01-29,101,Metalúrgica AçoForte,Embalagem,Pallet Padrão,498,342.68,366.12,Entregue
PO-10175,2023-10-04,2023-10-09,,107,Componentes BR,Embalagem,Caixa Papelão G,417,115.51,123.85,Pendente
PO-10176,2023-04-19,2023-05-04,2023-05-01,106,Transportes & Log,Componentes,Parafuso Inox,489,395.31,382.18,Entregue
PO-10177,2023-01-21,2023-02-02,2023-01-31,108,Importadora Oriente,Matéria-Prima,Polímero Granulado,413,229.32,247.22,Entregue
PO-10178,2023-10-02,2023-10-11,2023-10-12,101,Metalúrgica AçoForte,Componentes,Sensor Óptico,27,155.87,154.12,Devolvido
PO-10179,2023-02-28,2023-03-15,2023-03-15,105,Química Inovadora,Matéria-Prima,Bobina de Aço,333,40.5,41.63,Entregue
PO-10180,2023-06-07,2023-06-25,2023-06-22,106,Transportes & Log,MRO,Ferramentas de Corte,374,287.73,278.53,Entregue
PO-10181,2023-09-21,2023-10-03,2023-10-06,107,Componentes BR,Embalagem,Caixa Papelão G,76,293.64,325.09,Devolvido
PO-10182,2023-10-10,2023-10-25,,108,Importadora Oriente,Matéria-Prima,Chapa de Alumínio,253,385.55,401.04,Pendente
PO-10183,2023-12-30,2024-01-04,2024-01-04,107,Componentes BR,Matéria-Prima,Bobina de Aço,325,50.99,51.24,Entregue
PO-10184,2023-04-06,2023-04-18,2023-04-16,104,Global Embalagens,Matéria-Prima,Polímero Granulado,183,182.35,195.11,Entregue
PO-10185,2023-12-20,2024-01-03,2024-01-02,107,Componentes BR,Componentes,Microchip X1,238,333.4,390.01,Entregue
PO-10186,2023-09-28,2023-10-17,2023-10-17,108,Importadora Oriente,Componentes,Parafuso Inox,117,236.06,227.09,Entregue
PO-10187,2023-10-14,2023-10-28,2023-11-06,106,Transportes & Log,Matéria-Prima,Chapa de Alumínio,493,246.29,286.42,Entregue
PO-10188,2023-03-06,2023-03-16,2023-03-16,105,Química Inovadora,Embalagem,Pallet Padrão,109,240.9,262.48,Entregue
PO-10189,2023-04-28,2023-05-16,2023-05-14,102,Plásticos do Sul,Matéria-Prima,Polímero Granulado,11,150.47,157.29,Entregue
PO-10190,2023-06-03,2023-06-18,2023-06-17,101,Metalúrgica AçoForte,Matéria-Prima,Polímero Granulado,372,215.37,239.56,Entregue
PO-10191,2023-01-01,2023-01-20,2023-01-20,105,Química Inovadora,Matéria-Prima,Resina Epóxi,24,368.89,432.07,Entregue
PO-10192,2023-08-29,2023-09-10,2023-09-10,107,Componentes BR,Componentes,Microchip X1,361,213.94,232.07,Entregue
PO-10193,2023-04-23,2023-05-08,2023-05-07,106,Transportes & Log,Matéria-Prima,Bobina de Aço,329,122.09,121.15,Entregue
PO-10194,2023-12-09,2023-12-24,2023-12-27,106,Transportes & Log,Embalagem,Pallet Padrão,416,362.32,356.15,Devolvido
PO-10195,2023-06-22,2023-06-28,2023-06-25,104,Global Embalagens,Componentes,Parafuso Inox,422,257.22,262.26,Entregue
PO-10196,2023-07-24,2023-08-03,2023-08-05,107,Componentes BR,Matéria-Prima,Resina Epóxi,60,78.71,88.44,Entregue
PO-10197,2023-02-26,2023-03-03,2023-02-28,108,Importadora Oriente,Componentes,Placa de Circuito,92,301.36,339.93,Entregue
PO-10198,2023-02-26,2023-03-13,2023-03-26,102,Plásticos do Sul,Matéria-Prima,Chapa de Alumínio,243,68.39,68.73,Entregue
PO-10199,2023-04-17,2023-05-05,2023-05-02,106,Transportes & Log,Componentes,Sensor Óptico,177,88.29,97.82,Entregue
PO-10200,2023-01-17,2023-01-31,2023-01-28,105,Química Inovadora,Matéria-Prima,Polímero Granulado,192,150.64,148.56,Entregue
PO-10201,2023-11-29,2023-12-06,2023-12-06,102,Plásticos do Sul,Matéria-Prima,Polímero Granulado,420,271.95,303.85,Entregue
